 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 National , National , Bus , Boardings ," 101,371,727 "," 104,358,778 "," 104,788,137 "," 108,372,570 "," 112,315,303 "," 112,198,003 "," 113,891,381 "," 118,346,960 "," 125,970,012 "," 104,565,634 "," 93,218,455 "," 68,142,800 "," 101,712,375 "," 124,739,314 "," 129,291,742 "
 National , National , Bus , Boardings SuperGold ," 8,827,156 "," 9,349,132 "," 9,731,330 "," 10,473,505 "," 10,971,883 "," 11,021,849 "," 10,943,924 "," 11,856,646 "," 13,403,723 "," 10,920,092 "," 10,492,539 "," 8,143,885 "," 10,248,142 "," 11,417,015 "," 11,952,195 "
 National , National , Bus , Fares ," 171,809,803 "," 179,252,727 "," 187,538,592 "," 196,487,822 "," 213,419,536 "," 220,458,943 "," 210,224,816 "," 210,457,488 "," 200,720,105 "," 155,137,504 "," 138,615,871 "," 86,432,452 "," 83,428,077 "," 166,539,035 "," 192,265,548 "
 National , National , Bus , Fleet Size ," 2,159 "," 2,167 "," 2,234 "," 2,210 "," 2,375 "," 2,404 "," 2,544 "," 2,514 "," 2,602 "," 2,597 "," 2,599 "," 2,632 "," 2,670 "," 2,753 "," 2,809 "
 National , National , Bus , Passenger kilometres ," 736,679,480 "," 828,260,629 "," 838,143,349 "," 912,976,396 "," 866,550,581 "," 855,798,463 "," 845,782,272 "," 858,669,012 "," 752,713,946 "," 604,459,520 "," 536,261,974 "," 367,700,559 "," 570,746,988 "," 867,676,536 "," 890,787,859 "
 National , National , Bus , Service kilometres ," 96,544,314 "," 95,569,688 "," 98,356,462 "," 101,011,688 "," 101,994,415 "," 100,335,843 "," 102,597,376 "," 107,550,467 "," 115,949,813 "," 113,866,859 "," 122,934,050 "," 114,888,218 "," 114,842,378 "," 118,114,072 "," 124,946,450 "
 National , National , Bus , SuperGold Fare Substitute ," 16,345,960 "," 16,465,155 "," 16,912,909 "," 18,367,223 "," 19,800,604 "," 20,930,524 "," 20,421,494 "," 21,171,419 "," 21,270,600 "," 22,558,828 "," 22,071,543 "," 21,833,732 "," 24,838,630 "," 27,772,288 "," 30,201,251 "
 National , National , Exempt Services , Boardings , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 National , National , Exempt Services , Boardings SuperGold ,,,,,,,,," 220,832 "," 148,903 "," 57,042 "," 40,618 "," 50,085 "," 52,013 "," 50,881 "
 National , National , Exempt Services , SuperGold Fare Substitute ,,,,,,,,," 858,062 "," 624,596 "," 106,726 "," 83,641 "," 108,850 "," 108,819 "," 119,480 "
 National , National , Ferry , Boardings ," 5,063,622 "," 5,330,809 "," 5,288,402 "," 5,450,533 "," 5,868,689 "," 6,225,208 "," 6,488,432 "," 6,399,882 "," 6,691,578 "," 5,298,583 "," 4,537,685 "," 2,987,157 "," 4,794,078 "," 5,443,944 "," 7,413,811 "
 National , National , Ferry , Boardings SuperGold ," 320,347 "," 364,840 "," 406,189 "," 434,157 "," 476,703 "," 479,459 "," 431,030 "," 457,974 "," 525,770 "," 391,878 "," 419,676 "," 298,453 "," 403,407 "," 609,098 "," 415,227 "
 National , National , Ferry , Fares ," 24,014,974 "," 27,149,039 "," 27,966,702 "," 27,142,854 "," 28,647,133 "," 31,913,099 "," 34,648,329 "," 35,949,867 "," 37,272,366 "," 28,855,464 "," 23,454,346 "," 13,459,854 "," 10,989,310 "," 53,638,152 "," 50,592,700 "
 National , National , Ferry , Fleet Size , 27 , 28 , 27 , 30 , 31 , 32 , 33 , 33 , 33 , 33 , 34 , 35 , 34 , 36 , 35 
 National , National , Ferry , Passenger kilometres ," 55,085,668 "," 73,261,438 "," 77,111,825 "," 69,043,539 "," 77,741,471 "," 83,232,649 "," 86,826,927 "," 85,316,153 "," 89,600,591 "," 69,310,757 "," 60,269,685 "," 41,566,030 "," 67,434,797 "," 74,492,102 "," 68,625,535 "
 National , National , Ferry , Service kilometres ," 988,352 "," 1,006,768 "," 1,015,355 "," 1,033,898 "," 1,094,927 "," 1,608,075 "," 1,586,237 "," 1,641,449 "," 1,603,005 "," 1,479,101 "," 1,289,762 "," 1,138,518 "," 1,554,132 "," 1,254,471 "," 1,467,099 "
 National , National , Ferry , SuperGold Fare Substitute ," 1,992,979 "," 2,467,417 "," 2,533,420 "," 2,678,671 "," 2,920,123 "," 2,785,633 "," 2,383,094 "," 2,189,216 "," 2,831,669 "," 2,797,824 "," 2,877,878 "," 3,317,967 "," 3,379,752 "," 4,004,601 "," 4,411,246 "
