 Auckland , Bus , Boardings ,2018,66163292
 Auckland , Bus , Boardings SuperGold ,2018,6342792
 Auckland , Bus , Fares ,2018,117517141
 Auckland , Bus , Fleet Size ,2018,1350
 Auckland , Bus , Passenger kilometres ,2018,459007167
 Auckland , Bus , Service kilometres ,2018,54279010
 Auckland , Bus , SuperGold Fare Substitute ,2018,10456270
 Auckland , Ferry , Boardings ,2018,6041157
 Auckland , Ferry , Boardings SuperGold ,2018,424979
 Auckland , Ferry , Fares ,2018,34214037
 Auckland , Ferry , Fleet Size ,2018,29
 Auckland , Ferry , Passenger kilometres ,2018,82715286
 Auckland , Ferry , Service kilometres ,2018,1498248
 Auckland , Ferry , SuperGold Fare Substitute ,2018,2057879
 Auckland , Rail , Boardings ,2018,20148332
 Auckland , Rail , Boardings SuperGold ,2018,848542
 Auckland , Rail , Fares ,2018,46198364
 Auckland , Rail , Fleet Size ,2018,189
 Auckland , Rail , Passenger kilometres ,2018,249509228
 Auckland , Rail , Service kilometres ,2018,4016122
 Canterbury , Bus , Boardings ,2018,13621278
 Canterbury , Bus , Boardings SuperGold ,2018,1453175
 Canterbury , Bus , Fares ,2018,18286609
 Canterbury , Bus , Fleet Size ,2018,254
 Canterbury , Bus , Passenger kilometres ,2018,115938408
 Canterbury , Bus , Service kilometres ,2018,16453197
 Canterbury , Bus , SuperGold Fare Substitute ,2018,2955556
 Canterbury , Ferry , Boardings ,2018,129102
 Canterbury , Ferry , Boardings SuperGold ,2018,20045
 Canterbury , Ferry , Fares ,2018,376427
 Canterbury , Ferry , Fleet Size ,2018,1
 Canterbury , Ferry , Passenger kilometres ,2018,387306
 Canterbury , Ferry , Service kilometres ,2018,47666
 Canterbury , Ferry , SuperGold Fare Substitute ,2018,59917
 Wellington , Bus , Boardings ,2018,24716617
 Wellington , Bus , Boardings SuperGold ,2018,2355491
 Wellington , Bus , Fares ,2018,52548132
 Wellington , Bus , Fleet Size ,2018,436
 Wellington , Bus , Passenger kilometres ,2018,171736042
 Wellington , Bus , Service kilometres ,2018,16107184
 Wellington , Bus , SuperGold Fare Substitute ,2018,4551117
 Wellington , Ferry , Boardings ,2018,204209
 Wellington , Ferry , Boardings SuperGold ,2018,12950
 Wellington , Ferry , Fares ,2018,1359403
 Wellington , Ferry , Fleet Size ,2018,2
 Wellington , Ferry , Passenger kilometres ,2018,2213561
 Wellington , Ferry , Service kilometres ,2018,95535
 Wellington , Ferry , SuperGold Fare Substitute ,2018,71420
 Wellington , Rail , Boardings ,2018,13552866
 Wellington , Rail , Boardings SuperGold ,2018,559952
 Wellington , Rail , Fares ,2018,50642622
 Wellington , Rail , Fleet Size ,2018,190
 Wellington , Rail , Passenger kilometres ,2018,320102960
 Wellington , Rail , Service kilometres ,2018,3411587
 Wellington , Rail , SuperGold Fare Substitute ,2018,2208244
 Auckland , Bus , Boardings ,2019,73047950
 Auckland , Bus , Boardings SuperGold ,2019,7629427
 Auckland , Bus , Fares ,2019,115177279
 Auckland , Bus , Fleet Size ,2019,1362
 Auckland , Bus , Passenger kilometres ,2019,493766997
 Auckland , Bus , Service kilometres ,2019,61976050
 Auckland , Bus , SuperGold Fare Substitute ,2019,10606538
 Auckland , Ferry , Boardings ,2019,6311101
 Auckland , Ferry , Boardings SuperGold ,2019,483973
 Auckland , Ferry , Fares ,2019,35460832
 Auckland , Ferry , Fleet Size ,2019,29
 Auckland , Ferry , Passenger kilometres ,2019,87404675
 Auckland , Ferry , Service kilometres ,2019,1456113
 Auckland , Ferry , SuperGold Fare Substitute ,2019,2684086
 Auckland , Rail , Boardings ,2019,21389847
 Auckland , Rail , Boardings SuperGold ,2019,997914
 Auckland , Rail , Fares ,2019,50460433
 Auckland , Rail , Fleet Size ,2019,189
 Auckland , Rail , Passenger kilometres ,2019,260582994
 Auckland , Rail , Service kilometres ,2019,4337703
 Canterbury , Bus , Boardings ,2019,13715126
 Canterbury , Bus , Boardings SuperGold ,2019,1561453
 Canterbury , Bus , Fares ,2019,18975314
 Canterbury , Bus , Fleet Size ,2019,254
 Canterbury , Bus , Passenger kilometres ,2019,
 Canterbury , Bus , Service kilometres ,2019,15904210
 Canterbury , Bus , SuperGold Fare Substitute ,2019,2999553
 Canterbury , Ferry , Boardings ,2019,151094
 Canterbury , Ferry , Boardings SuperGold ,2019,26996
 Canterbury , Ferry , Fares ,2019,405168
 Canterbury , Ferry , Fleet Size ,2019,1
 Canterbury , Ferry , Passenger kilometres ,2019,
 Canterbury , Ferry , Service kilometres ,2019,47666
 Canterbury , Ferry , SuperGold Fare Substitute ,2019,66201
 Wellington , Bus , Boardings ,2019,24746993
 Wellington , Bus , Boardings SuperGold ,2019,2366943
 Wellington , Bus , Fares ,2019,42657622
 Wellington , Bus , Fleet Size ,2019,466
 Wellington , Bus , Passenger kilometres ,2019,162335011
 Wellington , Bus , Service kilometres ,2019,15031351
 Wellington , Bus , SuperGold Fare Substitute ,2019,4304889
 Wellington , Ferry , Boardings ,2019,202201
